name,cast_rating,,,
Shall We Dance,0.6306486679731250,,,
True Lies,0.6304182543006970,,,
La mort en ce jardin,0.6303688334537640,,,
Trois couleurs : Rouge,0.6301753735177890,,,
The Fan,0.6296653257618300,,,
The Ghost and the Darkness,0.6295529318685520,,,
¡Átame!,0.6293185172630360,,,
超级计划,0.629288403674349,,,
Swingers,0.6292273870741020,,,
Mother Night,0.6287892608117040,,,
Ma saison préférée,0.6287712012600760,,,
Carmen Miranda: Bananas Is My Business,0.6285177580630250,,,
Touch of Evil,0.6283423735172530,,,
The Quiet Man,0.6282545711629110,,,
To Catch a Thief,0.6281101503781490,,,
Even Cowgirls Get the Blues,0.6279673321186420,,,
The Maltese Falcon,0.6278780061499820,,,
The Gay Divorcee,0.6278555614976110,,,
Huang jia shi jie,0.6277566000301470,,,
Little Odessa,0.6276289495596780,,,
Apollo 13,0.6275743804720250,,,
Hot Shots! Part Deux,0.6275057938395740,,,
The Third Man,0.6273795892230740,,,
Father of the Bride,0.6270800501025810,,,
Around the World in Eighty Days,0.6270303079705900,,,
Some Like It Hot,0.6270258179382280,,,
The Little Princess,0.6270257550662060,,,
Pollyanna,0.6269621086220860,,,
Speed,0.6269110135134790,,,
The Wild Bunch,0.6268471042976070,,,
Blown Away,0.6267776568109670,,,
Nuovo Cinema Paradiso,0.6267698460826230,,,
His Girl Friday,0.6267256021806470,,,
Schlafes Bruder,0.6267126906783340,,,
Lost Horizon,0.6267087532484700,,,
O Convento,0.626570917776389,,,
Feeling Minnesota,0.6262903937160890,,,
La Cité des Enfants Perdus,0.6258587168606040,,,
The American President,0.6257062435071970,,,
The Outlaw,0.6256207594129110,,,
Rob Roy,0.6252770307525300,,,
Les visiteurs,0.625180425455347,,,
Romper Stomper,0.6248979317664240,,,
One Fine Day,0.6247917604352610,,,
Crimson Tide,0.6247379373483290,,,
The Unbearable Lightness of Being,0.6245857314501280,,,
The Graduate,0.6243933276170010,,,
Le Retour de Martin Guerre,0.6243929760035090,,,
Mary Reilly,0.624342339170528,,,
Looking for Richard,0.6243400878752720,,,
How To Make An American Quilt,0.6243189278813060,,,
The Sword in the Stone,0.6242651541826660,,,
Trois couleurs : Blanc,0.624086860506028,,,
Unhook the Stars,0.6240627834534210,,,
Romeo Is Bleeding,0.6239167742687710,,,
Talk of Angels,0.6237294908816590,,,
Nico Icon,0.6236780346161970,,,
Carlito's Way,0.623351395284675,,,
The Perez Family,0.6233015185526810,,,
Butch Cassidy and the Sundance Kid,0.6232740849658110,,,
警察故事 III：超級警察,0.6227743683933210,,,
The Remains of the Day,0.6227553799320960,,,
Jumanji,0.6227279641357640,,,
Home Alone,0.6225179472197740,,,
The Hudsucker Proxy,0.622435470426859,,,
Devil in a Blue Dress,0.6224229796236270,,,
Days of Thunder,0.6221836787985750,,,
Emma,0.6221159742854490,,,
Patton,0.6220976530912190,,,
Der Himmel über Berlin,0.6220818176808160,,,
The Client,0.6219855078059960,,,
Heat,0.621962403658675,,,
Just Cause,0.6219434251843230,,,
Reality Bites,0.621859834724756,,,
To Gillian on Her 37th Birthday,0.6217857864215900,,,
Sabrina,0.6217139086952770,,,
Legends of the Fall,0.6215142144379670,,,
Faust,0.6214139916231490,,,
American Buffalo,0.6213795017738090,,,
Homeward Bound: The Incredible Journey,0.6213238696863470,,,
Blade Runner,0.6212708416336150,,,
A Month by the Lake,0.6209241698043590,,,
Reckless,0.6208928641148970,,,
Money Train,0.6208447415710140,,,
Addams Family Values,0.6205839607524960,,,
Young Frankenstein,0.6205260705300190,,,
Twelfth Night,0.6204640364569830,,,
Before and After,0.6201888372718450,,,
Wolf,0.6201704446843920,,,
Copycat,0.6200873487221690,,,
Casper,0.6200854758664630,,,
Indiana Jones and the Last Crusade,0.6198081204936140,,,
In the Name of the Father,0.6197463331105000,,,
Kalifornia,0.6197210363277290,,,
Nixon,0.6197194812143420,,,
Maverick,0.6195199829750130,,,
Spellbound,0.6193936197383730,,,
Independence Day,0.6193082569250070,,,
活着,0.6191460686547620,,,
The Browning Version,0.6191419187634570,,,
Mr. Smith Goes to Washington,0.6190844113178550,,,
DragonHeart,0.6187831730281070,,,
My Favorite Year,0.6187630654959940,,,
L'associé,0.6187513089483450,,,
Something to Talk About,0.6184109913700180,,,
A Walk in the Sun,0.6182152270473570,,,
Nobody's Fool,0.6181843384788270,,,
Tin Cup,0.6181827016625000,,,
Chain Reaction,0.6179731510612920,,,
The Rock,0.6178687698876350,,,
The Wooden Man's Bride,0.6178287267684940,,,
An American in Paris,0.617826814279122,,,
Dangerous Game,0.6177646825748490,,,
Golden Earrings,0.6173015227938260,,,
Down by Law,0.6172190082126230,,,
The Funeral,0.6171729593363190,,,
The Show,0.6171127690797690,,,
Only You,0.6170982813726450,,,
Brazil,0.6170523689048950,,,
Get Shorty,0.6169846701752820,,,
Interview with the Vampire,0.6169555272810150,,,
The River Wild,0.6168956881818440,,,
Утомлённые солнцем,0.6167610534753270,,,
Le Bonheur est dans le pré,0.6166914647283620,,,
Girls Town,0.6165611743927000,,,
The Quick and the Dead,0.6164794378078460,,,
Kicking and Screaming,0.6164737688818540,,,
Clean Slate,0.6164684617925450,,,
A Kid in King Arthur's Court,0.6164458215280060,,,
Fled,0.6161653074456540,,,
Outbreak,0.615864486685415,,,
愛のコリーダ,0.6157591604641640,,,
A Room with a View,0.6157501974664430,,,
Dolores Claiborne,0.6156986706275410,,,
The Band Wagon,0.6156928556319480,,,
When Night Is Falling,0.6154942296526050,,,
Boca a boca,0.6154168713209950,,,
Pinocchio,0.6152671582530520,,,
Gandhi,0.6152638244508720,,,
Toy Story,0.615026993187722,,,
Meet Me in St. Louis,0.6150227390438920,,,
The English Patient,0.6150097112936520,,,
Demolition Man,0.6149919203016000,,,
Enchanted April,0.6149567835511880,,,
The Crossing Guard,0.6149385182558620,,,
The Right Stuff,0.6148422655180850,,,
Widows' Peak,0.6147153437060840,,,
The Celluloid Closet,0.6146771444677890,,,
Heathers,0.6144996360510460,,,
Un week-end sur deux,0.6144932816974000,,,
Laura,0.6144420271364230,,,
2 Days in the Valley,0.6144241131421900,,,
Courage Under Fire,0.6140453125901240,,,
Secrets & Lies,0.613916798553938,,,
Braveheart,0.6137385553298190,,,
Immortal Beloved,0.613287546341663,,,
The Scarlet Letter,0.6132264949895380,,,
Harold and Maude,0.6131976093125720,,,
Murder in the First,0.6128398888692570,,,
Natural Born Killers,0.6125108964278030,,,
Aladdin and the King of Thieves,0.612463760399965,,,
Prêt-à-Porter,0.6124144106132080,,,
Eye for an Eye,0.6123550201166450,,,
The Pagemaster,0.6122552763760340,,,
Trois couleurs : Bleu,0.6121208872870930,,,
Funny Face,0.6120956699767510,,,
Mrs. Doubtfire,0.6120103609310970,,,
The Jungle Book,0.6118768673574030,,,
Flesh and Bone,0.6118233303874780,,,
Annie Hall,0.6117795169589740,,,
Jimmy Hollywood,0.6116366580325140,,,
Denise Calls Up,0.6115575865970790,,,
Naked in New York,0.6115486137168890,,,
Rosencrantz & Guildenstern Are Dead,0.6115083784465050,,,
Tuđa Amerika,0.6114920111465500,,,
Tombstone,0.6114387136689070,,,
The Man from Down Under,0.6114278469495310,,,
Twister,0.6113270843524070,,,
Les Roseaux Sauvages,0.6112857971042120,,,
Macao,0.6111138678781260,,,
Blue in the Face,0.6108760962354290,,,
Two If by Sea,0.6107474959355380,,,
The Land Before Time III: The Time of the Great Giving,0.6106941698969890,,,
Pocahontas,0.6106734707729360,,,
The Last of the High Kings,0.6105191896654190,,,
Á köldum klaka,0.610504186675891,,,
Cyrano de Bergerac,0.6102616855790840,,,
Junior,0.61005326458456,,,
Swimming with Sharks,0.6100369510381400,,,
Sunset Boulevard,0.6100107739217200,,,
Victor/Victoria,0.6098881298445430,,,
Six Degrees of Separation,0.609881123132012,,,
I'll Do Anything,0.6096798306326600,,,
The Inspector General,0.6095234934736480,,,
So Dear to My Heart,0.6093853312150110,,,
Xích lô,0.6090746222200400,,,
L'uomo delle stelle,0.6090699603139030,,,
A Walk in the Clouds,0.6090590283878290,,,
Die Blechtrommel,0.6089249835005550,,,
The Candidate,0.6088950683472500,,,
Othello,0.6087743472948670,,,
The Three Musketeers,0.6087311800750880,,,
Bananas,0.6086895424354400,,,
Kika,0.6086180966141670,,,
Don Juan DeMarco,0.6085251689033760,,,
Smoke,0.6084591455273240,,,
The Cable Guy,0.6082939543927650,,,
Cat on a Hot Tin Roof,0.6082551443491830,,,
To Be or Not to Be,0.6082485396495960,,,
Notorious,0.6082271909491500,,,
They Made Me a Criminal,0.6082102896498650,,,
Eraser,0.6079767541140720,,,
Angel on My Shoulder,0.6077812875599920,,,
Pulp Fiction,0.6077298579005620,,,
The Beverly Hillbillies,0.6076357244439660,,,
East of Eden,0.6075977765230740,,,
City Hall,0.6075551043985610,,,
North,0.6075269636019640,,,
Picnic,0.6072300501776840,,,
La Haine,0.6072279773550290,,,
Killer: A Journal of Murder,0.6071468207801580,,,
A Time to Kill,0.6071454201692530,,,
A Farewell to Arms,0.6070675117036760,,,
Primal Fear,0.6068451053404530,,,
Cool Hand Luke,0.606845102230558,,,
Fargo,0.6067967347908370,,,
It's a Wonderful Life,0.6067887025913420,,,
Mulholland Falls,0.6067359876029860,,,
Species,0.6067053777933710,,,
Star Trek: Generations,0.6066631437595330,,,
Raiders of the Lost Ark,0.6066252813428750,,,
